source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,Gmag,BPmag,RPmag,e_G,e_BP,e_RP,TWOMASS,Jmag,Hmag,Kmag,e_J,e_H,e_K,Qfl,Rfl,X,BPRP_excess
3007627681696904704,93.72630893925,0.024,-7.01455183602,0.0244,12.2089,0.0305,8.032,0.03,27.438,0.028,15.165065,16.693949,13.96527,0.00287,0.004829,0.004089,06145430-0700528,12.318,11.746,11.477,0.027,0.024,0.027,AAA,222,0,1.448
3121191496086374016,93.7502044135,0.0414,-1.20244556605,0.0405,11.5625,0.0469,6.193,0.048,16.249,0.043,15.488143,17.261862,14.217604,0.002846,0.010704,0.004135,06150004-0112091,12.375,11.776,11.506,0.024,0.026,0.023,AAA,222,0,1.498
3317078494826352128,93.79143453135,0.0172,3.36168472802,0.0163,14.2948,0.0202,3.038,0.022,0.31,0.018,13.777206,15.024858,12.669212,0.002806,0.003994,0.003876,06150993+0321420,11.21,10.619,10.394,0.024,0.024,0.023,AAA,222,0,1.398
3433218838619177600,93.84710286586,0.0154,27.49193594472,0.013,23.2802,0.0166,10.363,0.019,-66.184,0.015,10.109968,10.744676,9.353933,0.002796,0.003068,0.003823,06152328+2729321,8.402,7.85,7.71,0.021,0.031,0.027,AAA,111,0,1.249
3007297312812515712,94.08419685895,0.0158,-8.12888285309,0.0152,16.1677,0.0204,9.857,0.021,39.713,0.023,13.90998,15.341799,12.737729,0.002833,0.00343,0.003999,06162019-0807446,11.138,10.548,10.276,0.022,0.023,0.019,AAA,222,0,1.433
2896801582542487040,94.23522868098,0.0121,-29.86968431065,0.0143,12.6669,0.0173,6.872,0.016,72.34,0.019,8.076905,8.311011,7.682005,0.002762,0.002814,0.003794,06165645-2952121,7.244,7.116,7.039,0.02,0.033,0.017,AAA,111,0,1.19
3008216641973381760,94.2690797926,0.0388,-5.98805703094,0.0388,13.5702,0.0458,7.493,0.052,31.066,0.046,15.961961,17.793446,14.67446,0.002935,0.01401,0.004891,06170457-0559175,12.809,12.222,11.956,0.022,0.022,0.024,AAA,222,0,1.512
3437051942311118336,94.53230518051,0.0146,30.15539947831,0.0141,9.8242,0.0192,4.015,0.017,-28.324,0.014,12.763072,13.58758,11.874042,0.002767,0.002973,0.003877,06180774+3009198,10.786,10.15,9.959,0.022,0.027,0.018,AAA,222,0,1.294
3436950516662529408,94.91386084148,0.0128,29.35950460626,0.0107,9.6789,0.0146,5.352,0.016,-40.889,0.012,13.148406,14.064451,12.202124,0.002773,0.003139,0.003803,06193931+2921349,11.003,10.361,10.173,0.02,0.022,0.017,AAA,222,0,1.318
2899387771329884288,95.06950766535,0.0219,-27.32201612935,0.0295,12.8312,0.0358,4.984,0.029,71.04,0.036,14.174537,15.602544,12.996107,0.002841,0.00413,0.004201,06201667-2719204,11.345,10.757,10.475,0.023,0.026,0.021,AAA,222,0,1.441
3001170524784385920,95.41893469174,0.0932,-11.40889552091,0.1107,10.7521,0.1011,3.853,0.114,34.45,0.129,17.455122,19.62905,16.089268,0.003155,0.056256,0.006933,06214053-1124327,14.077,13.45,13.162,0.026,0.033,0.033,AAA,222,0,1.579
2944823165204143488,95.48047961308,0.0395,-16.50444907636,0.0473,10.0597,0.0659,3.022,0.048,40.682,0.054,16.705858,18.609167,15.412034,0.002828,0.015609,0.004198,06215530-1630166,13.47,12.902,12.609,0.023,0.025,0.019,AAA,222,0,1.512
3330855616042214912,95.54403062556,0.0895,11.12993029719,0.0844,9.9659,0.1092,4.314,0.112,-10.034,0.088,17.152796,17.119942,17.10386,0.003122,0.011409,0.030056,06221061+1107463,16.449,16.108,16.224,0.115,0.189,,BCU,220,0,1.188
3006386058191458048,95.72698630233,0.0284,-8.42359699417,0.0289,8.3214,0.0344,1.721,0.037,13.567,0.033,15.502003,16.888372,14.346676,0.002851,0.007128,0.004417,06225447-0825252,12.743,12.168,11.963,0.024,0.057,0.024,AAA,222,0,1.422
3006386058191457408,95.72759331978,0.0284,-8.42227679641,0.029,8.233,0.0355,0.459,0.036,12.923,0.034,15.466249,16.847769,14.305844,0.002817,0.006415,0.004196,06225462-0825204,12.74,12.145,11.914,0.067,0.023,0.058,AAA,222,0,1.429
3124963954842553600,95.74983512616,0.0173,2.79990027102,0.0187,15.9959,0.0246,5.224,0.024,17.609,0.018,10.169259,10.691095,9.501402,0.002818,0.003345,0.00396,06225995+0247594,8.721,8.25,8.121,0.019,0.067,0.027,AAA,111,0,1.227
